restaurant,review,origin
Beer City Bread,nan,real
Firefox&CMChicken,"Their spice levels are no joke. SO GOOD THOUGH. 

Unfortunately, original was too spicy for the little one, but she never eats spice lol. It definitely has a kick. 

The rest of the flavors scale up from 1-5 pretty quick. 

Original is great. Garlic soy is my favorite.",real
Firefox&CMChicken,"Nom nom nom. Located in SE Grand Rapids, MI! 

Service: 9/10
Food: 10/10
Cost: 9.5/10

Reminds me of Bonchon chicken or Noori chicken. THEIR BREADING IS SO GOOD. KOREAN FRIED CHICKEN BREADING SLAPS. I would probably eat here everyday if I could. 

Many comfort foods but also coming in hot with the chicken. 

We spent $26 for a 10 piece, 2 side radishes, a side of rice and two water bottles.",real
Firefox&CMChicken,Read more,real
Firefox&CMChicken,"FIRE. LITERALLY. we got the red pepper and spicy garlic. We drove back for ""regular"" chicken because I couldn't let pookie's first time trying bomb ahh chicken to be unenjoyable. Soo we got soy garlic. still a little on the MILD side, probably should've gotten original, but it was all still so good. I'm so glad I found it on yelp and was not expecting it to be Korean chicken but bam. And dicked pickled radish. Double bam. Fuego. Literally. Again. Otra vez. 10/10. Driving 40 minutes for some similar-to Bonchon Chicken. Definutely looked nice inside, the cashier was so nice and precious . We did not eat inside for the sake of time but would when we have a chance to. Thank you FireFox!",real
Firefox&CMChicken,"While visiting Grand Rapids with my family, we stumbled upon Firefox & CM Chicken. We figured we couldn't go wrong with Korean fried chicken and thankfully, we were not disappointed. Since my mom avoids spicy foods, we wanted to be sure we didn't order anything too spicy and the lady taking our order was very helpful and assisted us with ordering foods that were mild enough for her.

Since we wanted to try a few different flavors, we decided on the Garlic Soy Chicken Drums, Curry Chicken Wings, Veggie Fried Rice and Fries. The menu included something that was intriguing to us called the Snow Onion so we definitely had to try that out as well.

The food was ready fairly quickly and tasted amazing. The Garlic Soy and Curry had a very minimal spice level. The chicken was fried to perfection and the flavors were phenomenal. We chose the Snow Onion with the chicken tenders and it was one of the best things I've ever tasted. The sweet onions were sliced very thinly and were smothered in a lightly sweetened sauce. It was delicious!!! The Veggie Fried Rice was good but I'm sure it would've been better with chicken or shrimp. 

Overall, we had a great experience at Firefox & CM Chicken. There's plenty of seating for people that want to dine in but I believe most order to go. If you're in the Grand Rapids area, definitely stop in and try their Korean fried chicken. You will not be disappointed!!!",real
Firefox&CMChicken,See all photos from Leah J. for Firefox&CMChicken,real
Firefox&CMChicken,"Fire fox is a small authentic Korean restaurant that has a fairly big menu to choose from. I usually get the beef foxy Ramen and it's always delicious and hits the spot. You order and pay ahead up front and they bring you your food when it's ready and it never takes more than 10-15 mins which is awesome. If I go to Woodland Mall i'll always make sure to stop at Firefox. 
The only thing I don't like is that they only use disposable tableware which isn't always ideal to eat out of nor is it great for the environment but makes it really easy to take leftovers!!",real
Firefox&CMChicken,Tofu Bibimbap and Garlic Soy Chicken,real
Firefox&CMChicken,Beef foxy ramen,real
Firefox&CMChicken,"It's great to have a Korean fried chicken place in GR! There's plenty of parking, ordering takes place when you walk in, and there's not too long of a wait to get your food. You can grab water while you wait or they have other Korean beverages for purchase. 

The chicken is well flavored and very crispy. I wasn't a big fan of the curry cheese ramen, which you could make yourself at home, so I'd stick to chicken next time. I also got a side of seaweed salad, which came in a styrofoam cup. There are metal chairs and ample seating inside if you dine in, but I'd definitely consider this for fried chicken takeout in the future!",real
Firefox&CMChicken,Pretty delicious stuff! I'll be back again for sure. The Spicy Garlic was solid but I want something a little hotter next time. The fry on the chicken was legit and the fried dumplings are really excellent with the sauce they pack them with. Service was fast and friendly.,real
Firefox&CMChicken,"Firefox has been a tried-and-true staple for us since we moved to Grand Rapids, and their menu has expanded impressively in that time! The interior is small but cozy, and the staff are always super friendly. We've liked everything we've ordered from here, but some of our favorites are the garlic soy chicken, curry cheese ramen, and beef bimbap. Definitely worth trying if you're looking for some delicious Korean takeout!",real
Firefox&CMChicken,"Really love this place and so does my daughter and her friends. It's become a tradition to take them here after camp. If you love spicy chicken, this place is great",real
Firefox&CMChicken,"Famous for the Korean fried chicken, a friend's craving led us here for a Saturday lunch in November. Enjoying a more sweet glaze, I got the garlic soy tenders (boneless). The 10 piece basket was filling and delicious!

My wife ordered a bowl of their ramen with a hardboiled egg. Unlike other eggs in ramen, this one's yolk was cooked through. 

Service was fast and there's plenty of space with tables.",real
Firefox&CMChicken,Food is excellent! I placed an online order and I didn't check it before I left so I was missing a seaweed salad. I would eat her again! Chicken is so good!,real
Firefox&CMChicken,"We've been to a CM chicken in VA and it was good so I got so excited when I saw that GR had CM Korean chicken! Wow.....We were blown away how amazing their food was...!!! 

All of their wings (Soy garlic, Curry and Garlic spicy) were so crispy and delicious. We would've been just so happy with that but they went above and beyond with their fried rice, fried shrimp, TTEOKBOKKI and fresh kimchi!!!!
I mean...I'm a sucker for good TteokBokki (Spicy rice cake+fish cake) and it was soooo good!!! 
That Mango lemonade was so yummy, too..!! 
Literally EVERYTHING WAS ON POINT and one more important thing...food came out really fast...! We were so surprised how fast it all came out. 

We actually gave our cash tips to the cook because we had to acknowledge her :) We got to speak with the owner & the manager. They were good/genuine people. I was so proud of them thriving in GR with Korean food. 

We'll be coming back soon! You should try this spot if you haven't yet! Absolutely worth it!!",real
Firefox&CMChicken,See all photos from Jennifer C. for Firefox&CMChicken,real
Al-Bo’s,"I happened to be in the area for work and thought I'd give this place a try and I'm so glad I did! Such a nice little resturaunt,  with authentic  European cuisine. It is a Serbian restaurant,  but has many European dishes. The food brought back so many memories and I couldn't decide on just one thing,  so had to order to go as well. Home made Spätzle!! When they make it by hand you know the place is legit- even though its easy to make, many places use a boxed/bagged  version. A resturaunt that takes the time to make it by hand is a Gem. The Latte was just like one from the Austrian cafes. 
Also the nicest people work here. Run don't walk to here!!",real
Al-Bo’s,Mixed grill,real
Al-Bo’s,"I can't count the number of times I've driven past Al-Bo's and never stopped in. Looking to do something different, a friend and I went here for dinner after a round of golf. 

The menu was huge and it was a challenge getting through it all. Instead, I decided to just focus on two or three dishes that looked or sounded good and go from there. 

I had the goulash and my friend ordered the special which was lamb shank. Both were excellent. I especially liked the goulash sauce and the extremely favorable beef chunks. Fresh baked bread was served with both dishes which was great for lopping up the great goulash sauce! 

We also has a couple of lagers which were very good. I'm going to have to go back to get the name because I would definitely buy some for home. 

Service was quick and friendly. 

All in all, an enjoyable meal.",real
Al-Bo’s,Goulash and rice,real
Al-Bo’s,"Flew in to Grand Rapids for the first time and wanted a quick lunch straight from the airport, we found this place by chance and were very happy we did. 
Service was like being a guest in someone's home....warm, inviting and very personal. Batsi was a wonderful guide for a newbie to Al-Bo's! 
The Sarma( sour cabbage rolls) were served piping hot with fluffy and light mashed potatoes and a flavorful sauce. We got a shopska salad to start and fresh bread as well. Also pictured is the grilled chicken sandwich for the guest still recovering from the flight . 
For dessert we got tufahije and baklava .... Light, flaky and chewy, just like it should be.  
After lunch we went to the little store next door to buy some goodies but we decided to come back to try the burek and pljeskavika and get our goodies then. 
So happy that we found this local place and had a chance to enjoy a lovely balkan meal.",real
Al-Bo’s,See all photos from Shelly L. for Al-Bo’s,real
Al-Bo’s,"I finally made it back today and WOW. I seriously cannot rave enough about how delicious it was. Our waiter Mirsad took EXCELLENT care of us. He recommended the Burek with Cheese which was incredible! We also ordered the Geschnitzel and the Jaeger Schnitzel (oh and skip the fries, get the spaetzle instead). The food came out quickly and was more than the two of us could eat. But it was so good we ordered dessert to-go.",real
Al-Bo’s,54. Geschnitzel 10. Burek with Cheese  55. Jaeger Schnitzel,real
Al-Bo’s,"If you're looking for a no-frills, genuinely good breakfast spot, this place hits the mark. It's one of my go-to favorites. The cappuccino? Easily one of the best I've had--seriously holds its own against any coffee shop. Everything here is about the small touches: perfectly toasted bread with a sprinkle of herbs, a simple omelet with fresh, crisp veggies cooked just right, and a great overall balance of flavor and portions. It's unassuming, but consistently excellent. Just give it a try--you'll see what I mean.",real
Al-Bo’s,"I recently had the pleasure of dining at this establishment and was thoroughly impressed. The cappuccino crafted by Batsi was nothing short of phenomenal--rich, smooth, and expertly made. It rivaled any coffee shop brew I've had.

The meal was equally delightful. The stuffed cabbage paired with creamy mashed potatoes was hearty and flavorful, and the Greek salad was fresh and crisp. Portions were generous; I even had leftovers to enjoy later. Everything was so delicious, I completely forgot to take pictures!

Batsi's warm and friendly demeanor made the experience even more special. He guided me through the menu, helping me navigate the numerous tempting options to find the perfect meal. His hospitality made me feel right at home.

If I lived in Grand Rapids, this would undoubtedly be a regular spot for me. Highly recommend to anyone seeking delicious food and exceptional service.",real
Al-Bo’s,Read more,real
Al-Bo’s,"I recently had a friendly lunch with friends at Al-Bos Bakery and Meat Market. This Bosnian-led restaurant was as genuine and welcoming as any place I visited in Sarajevo. The atmosphere was warm, inviting, and spacious. I ordered the lamb shank; with mashed potatoes and mixed vegetables. The meat easily fell off the bone, melted in my mouth, and paired perfectly with the potatoes and veggies. My friends opted for the Wiener Schnitzel and Paris Schnitzel, both of which they enjoyed. I also took the opportunity to meet the owner, with friends from his hometown and extended family. I will be back. Walla--thank you in Bosnian!",real
Al-Bo’s,Lamb Shank,real
Al-Bo’s,We love going to Al-Bo's! It is a hidden (and very reasonably priced) gem here in Grand Rapids. The food is excellent. Love perusing the little grocer connected to it-- we feel like we are right back in Eastern Europe! Love it.,real
Al-Bo’s,"This one is a bit old but definitely still worth sharing. I've drove past this spot quite a few times and always wondered what it was. As it turns out, one of my friends loves this spot so we grabbed some dinner.

We both ordered a flatbread style dish - mine was stuffed with feta cheese and my friends got a ground beef version. These were my favorite at Al Bos. Flaky, buttery layers of dough with a savory filling. 

I got this massive platter of meats because I couldn't decide on anything. Honesty felt like a little kid ordering chicken tenders again. It wasn't particularly amazing but I enjoyed it. The skewer and patties were decent but a little greasy for my taste. The rice came out cold while some of the other items were blazing hot. Owner was nice and the place was clean and quiet. I'd go back again, especially for their baked items.",real
Al-Bo’s,"I've had Al-Bos on my list to try for ages, so when one of our go-to spots was too busy at dinner time, Nate and I decided to check it out. I'm trying to slowly go through my list of places I've never been in Grand Rapids!

I will say I think my expectations were a bit high from some of the reviews I've read. We sat in a cozy booth and were greeted by a friendly employee who was working the bar and waiting all the tables. It wasn't super busy but I had a feeling the service might be a bit slower. They do serve alcohol here but we stuck with water.

The menu has several photos and I knew I wanted to try the burek, which is a flaky pastry filled with cheese or cheese and meat. I did have to Google some names as there aren't many descriptions, and we asked our server for some recommendations. He suggested the burek with cheese and spinach, which wasn't listed on the menu. I asked which he liked better, the cevapi or the pljeskavica. I think he said they are basically the same meat mixture, one is in a sausage link form and the other is a burger-like patty. We went with the pljeskavica.

Once we got our food, we dug in and I noticed that everything was just lukewarm, not hot. I was a bit disappointed with that because I think the burek would have been better if it was warmer. It was still tasty, and I liked the addition of the spinach. The plate with the pljeskavica came with fries and a scoop of rice. The fries were definitely not hot and closer to room temperature, but we still ate them. The meat patty was seasoned well and was mixed with some minced onions. It was like eating a burger without a bun, which I didn't mind, but it didn't blow me away.

I'm glad we gave Al-Bos a try and I would go back to order some different dishes - the schnitzel sounds great and the mixed grill/combo platters might be a good way to try some other things. Definitely a unique restaurant and I'm glad we have this option in town.",real
Al-Bo’s,See all photos from Katy C. for Al-Bo’s,real
Al-Bo’s,"I stopped by since it is near the airport and I wanted something else that is not burgers.  The place does look iffy from the outside and the hours is not what anyone would normally expect.  The moment I walked in, the staff was welcoming and helped me with my to-go order.  He made suggestions based on what I was looking for and my budget.  I stepped out a bit and came back.  Another customer immediately flagged the staff and handed me my order.  The food portion is huge for the price and all were so good.  Highly recommended if I live closer, wish I had known about this place earlier.",real
Broad Leaf Brewery & Spirits,nan,real
Papa Chops Eatery,Food is delicious and service is friendly every time!! It's great having a gluten free restaurant in our community!,real
